Performer,Song,spotify_genre
Connie Francis,(He's My) Dreamboat,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Jay & The Americans,(He's) Raining In My Sunshine,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
The Fleetwoods,(He's) The Great Impostor,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']"
Jan & Dean,(Here They Come) From All Over The World,['christmas instrumental']
B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Nelly,(Hot S**t) Country Grammar,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']"
The Boys In The Band,(How Bout A Little Hand For) The Boys In The Band,[]
Jim Reeves,(How Can I Write On Paper) What I Feel In My Heart,"['adult standards', 'nashville sound', 'rock-and-roll']"
Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,[]
ABC,(How To Be A) Millionaire,[]
Paul Anka/Odia Coates,(I Believe) There's Nothing Stronger Than Our Love,
Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Barbara Mason,(I Can Feel Your Love) Slipping Away,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']"
The Rolling Stones,(I Can't Get No) Satisfaction,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Skeeter Davis,(I Can't Help You) I'm Falling Too,"['brill building pop', 'nashville sound']"
"Harry Connick, Jr.",(I Could Only) Whisper Your Name,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']"
Barbara Lynn,(I Cried at) Laura's Wedding,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
Bobby Freeman,(I Do The) Shimmy Shimmy,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Steve Lawrence,(I Don't Care) Only Love Me,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Sutherland Brothers And Quiver,(I Don't Want To Love You But) You Got Me Anyway,['classic uk pop']
Three Days Grace,(I Hate) Everything About You,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']"
Cutting Crew,(I Just) Died In Your Arms,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Shaquille O'Neal,(I Know I Got) Skillz,['new jersey rap']
Rare Earth,(I Know) I'm Losing You,"['blues rock', 'classic rock', 'motown']"
Rod Stewart With Faces,(I Know) I'm Losing You,
The Temptations,(I Know) I'm Losing You,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
Uptown,(I Know) I'm Losing You,[]
Perry Como,(I Love You) Don't You Forget It,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
Martina McBride,(I Never Promised You A) Rose Garden,"['contemporary country', 'country', 'country dawn', 'country road']"
Vanity Fare,(I Remember) Summer Morning,"['bubblegum pop', 'classic uk pop', 'merseybeat']"
The Olympics,(I Wanna) Dance With The Teacher,"['doo-wop', 'rhythm and blues']"
Gene Pitney,(I Wanna) Love My Life Away,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
The Parliaments,(I Wanna) Testify,[]
Dion,(I was) Born To Cry,"['canadian pop', 'dance pop']"
Johnny Rivers,(I Washed My Hands In) Muddy Water,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'soft rock']"
Allan Clarke,(I Will Be Your) Shadow In The Street,[]
Ashford & Simpson,(I'd Know You) Anywhere,"['broadway', 'hollywood', 'show tunes']"
Tab Hunter,(I'll Be With You In) Apple Blossom Time,['deep adult standards']
Jr. Walker & The All Stars,(I'm A) Road Runner,"['outlaw country', 'redneck']"
Rick Cunha,(I'm A) YoYo Man,[]
Ron Banks And The Dramatics,(I'm Going By) The Stars In Your Eyes,
Gene Chandler,(I'm Just A) Fool For You,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']"
The Monkees,(I'm Not Your) Steppin' Stone,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']"
Charley Pride,(I'm So) Afraid Of Losing You Again,"['classic country pop', 'country', 'country rock', 'nashville sound']"
Little Peggy March,(I'm Watching) Every Little Move You Make,['brill building pop']
Chicago,(i've Been) Searchin' So Long,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Bobby Rydell,(I've Got) Bonnie,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Little Willie John,(I've Got) Spring Fever,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,['soft rock']
Glee Cast,(I've Had) The Time Of My Life,"['glee club', 'hollywood', 'post-teen pop']"
Barbara Mandrell,(If Loving You Is Wrong) I Don't Want To Be Right,"['classic country pop', 'country', 'country gospel', 'country rock']"
Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right,"['classic soul', 'memphis soul', 'southern soul']"
Celine Dion,(If There Was) Any Other Way,"['canadian pop', 'dance pop']"
Mac Davis,(if You Add) All The Love In The World,"['bubblegum pop', 'country rock']"
The Drifters,"(If You Cry) True Love, True Love","['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,['classic soul']
Gloria Gaynor,(If You Want It) Do It Yourself,['disco']
Shania Twain,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']"
Weezer,(If You're Wondering If I Want You To) I Want You To,"['alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']"
Chuck Jackson,(It Never Happens) In Real Life,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']"
Gino & Gina,(It's Been A Long Time) Pretty Baby,"['classic canadian rock', 'mellow gold', 'soft rock', 'yacht rock']"
Paula Abdul,(It's Just) The Way That You Love Me,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'urban contemporary']"
The Duprees featuring Joey Vann,(It's No) Sin,"['brill building pop', 'doo-wop', 'rhythm and blues']"
Four Tops,(It's The Way) Nature Planned It,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Steven Tyler,(It) Feels So Good,['modern country rock']
The Reflections,(Just Like) Romeo & Juliet,[]
Sha Na Na,(Just Like) Romeo And Juliet,['hollywood']
John Lennon,(Just Like) Starting Over,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
The Human League,(Keep Feeling) Fascination,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']"
Gloriana,(Kissed You) Good Night,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
The 5th Dimension,(Last Night) I Didn't Get To Sleep At All,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']"
Tony Toni Tone,(Lay Your Head On My) Pillow,"['dance pop', 'funk', 'hip pop', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Bill Doggett,(Let's Do) The Hully Gully Twist,"['jazz organ', 'rhythm and blues', 'soul jazz']"
The Temptations,(Loneliness Made Me Realize) It's You That I Need,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
The Intruders,(Love Is Like A) Baseball Game,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Andy Gibb,(Love Is) Thicker Than Water,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']"
The Fantastics,(Love Me) Love The Life I Lead,[]
Ferrante & Teicher,(Love Theme From) One Eyed Jacks,"['adult standards', 'easy listening', 'exotica', 'lounge']"
George Torrence & The Naturals,"(Mama Come Quick, and Bring Your) Lickin' Stick",[]
Elvis Presley,(Marie's The Name) His Latest Flame,"['adult standards', 'rock-and-roll', 'rockabilly']"
The B.C. 52's,"(Meet) The Flintstones (From ""The Flintstones"")",
Little Caesar And The Consuls,(My Girl) Sloopy,[]
Donald Jenkins & The Delighters,(Native Girl) Elephant Walk,[]
Tommy Edwards,(New In) The Ways Of Love,"['deep adult standards', 'doo-wop']"
Ray Charles with the Raylettes,(Night Time Is) The Right Time,
Funkadelic,(Not Just) Knee Deep - Part 1,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'soul']"
Elvis Presley With The Jordanaires,(Now and Then There's) A Fool Such As I,
Lee Ann Womack,(Now You See Me) Now You Don't,"['contemporary country', 'country', 'country dawn', 'country road']"
Goose Creek Symphony,(Oh Lord Won't You Buy Me A) Mercedes Benz,['cosmic american']
Van Halen,(oh) Pretty Woman,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Ray Sawyer,(one More Year Of) Daddy's Little Girl,[]
The New Establishment,(One Of These Days) Sunday's Gonna' Come On Tuesday,[]
Dean Martin,(Open Up The Door) Let The Good Times In,"['adult standards', 'easy listening', 'lounge']"
Andy Gibb,(Our Love) Don't Throw It All Away,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']"
U2,(Pride) In The Name Of Love,"['irish rock', 'permanent wave', 'rock']"
The Stompers,(Quarter To Four) Stomp,[]
Duran Duran,(Reach Up For The) Sunrise,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
Dean Martin,(Remember Me) I'm The One Who Loves You,"['adult standards', 'easy listening', 'lounge']"
Cat Stevens,(Remember The Days Of The) Old Schoolyard,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Elton John,(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,"['glam rock', 'mellow gold', 'piano rock']"
Roy Orbison,(Say) You're My Girl,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']"
Dobie Gray,"(See You At The) ""Go-Go""","['motown', 'northern soul']"
Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,
KC And The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty","['disco', 'funk', 'motown', 'soft rock']"
Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']"
All-4-One,(She's Got) Skillz,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']"
Starz,(She's Just A) Fallen Angel,[]
Stray Cats,(she's) Sexy + 17,"['instrumental surf', 'rock-and-roll', 'rockabilly']"
Huey Lewis & The News,(She's) Some Kind Of Wonderful,"['album rock', 'classic rock', 'dance rock', 'folk rock', 'mellow gold', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
The Fantastic Johnny C,(She's) Some Kind Of Wonderful,['philly soul']
Travis Wammack,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,[]
King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay,"['jazz blues', 'jazz saxophone', 'soul', 'soul jazz']"
Michael Bolton,(Sittin' On) The Dock Of The Bay,"['adult standards', 'soft rock']"
Otis Redding,(Sittin' On) The Dock Of The Bay,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
Sammy Hagar,(Sittin' On) The Dock Of The Bay,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock']"
Sergio Mendes & Brasil '66,(Sittin' On) The Dock Of The Bay,"['bossa nova', 'brazilian jazz', 'samba']"
The Reddings,(Sittin' On) The Dock Of The Bay,"['funk', 'post-disco', 'post-disco soul']"
Elvis Presley With The Jordanaires,(Such An) Easy Question,
Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
Shirley Ellis,(That's) What The Nitty Gritty Is,['northern soul']
The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees,['northern soul']
The Ronettes,(The Best Part Of) Breakin' Up,"['adult standards', 'brill building pop', 'classic girl group', 'motown']"
Brian Hyland,(The Clickity Clack Song) Four Little Heels,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Don Fardon,(The Lament Of The Cherokee) Indian Reservation,['classic uk pop']
Bee Gees,(The Lights Went Out In) Massachusetts,"['adult standards', 'disco', 'mellow gold', 'soft rock']"
Gene Pitney,(The Man Who Shot) Liberty Valance,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
The Irish Rovers,(The Puppet Song) Whiskey On A Sunday,"['canadian celtic', 'celtic', 'irish folk', 'irish pub song']"
Tony Clarke,"(The Story Of) Woman, Love And A Man (Part 1)",['northern soul']
